nom;annee
A Martinez;1948-09-27
Aaliyah;1979-01-16
Axelle Abbadie;1951-07-30
Mahmoud Abbas;1935-03-26
Abbé Pierre;1912-08-05
Abdallah II;1962-01-30
Gamal Abdel Nasser;1918-01-15
Paula Abdul;1962-06-19
Asami Abe;1985-02-27
Myriam Abel;1981-05-15
Lionel Abelanski;1964-10-22
David Abiker;1969-02-11
Ary Abittan;1974-01-31
Victoria Abril;1959-07-04
Stefano Accorsi;1971-03-02
Mouloud Achour;1980-08-01
Jensen Ackles;1978-03-01
Marie-Christine Adam;1950-09-24
Thierry Adam;1967-10-24
Salvatore Adamo;1943-11-01
Bryan Adams;1959-11-05
Amy Adams;1975-08-20
Kev Adams;1991-07-01
Adele;1988-05-05
Konrad Adenauer;1876-01-05
Isabelle Adjani;1955-06-27
Patrick Adler;1958-04-15
Olivia Adriaco;1966-02-05
Sade Adu;1959-01-16
Ben Affleck;1972-08-15
Casey Affleck;1975-08-12
Alain Afflelou;1948-01-01
Andre Agassi;1970-04-29
Béatrice Agenin;1950-07-30
Christina Aguilera;1980-12-18
Jenny Agutter;1952-12-20
Mahmoud Ahmadinejad;1956-10-28
Anouk Aimée;1932-04-27
Malin Akerman;1978-05-12
Akhenaton;1968-09-17
Akihito;1933-12-23
Dodi Al-Fayed;1955-04-15
Rania al-Yassin;1970-08-31
Roberto Alagna;1963-06-07
Alain;1868-03-03
Frank Alamo;1941-10-12
Annick Alane;1925-09-05
Jessica Alba;1981-04-28
Christine Albanel;1955-06-25
Albator;1978-03-14
Tomaso Albinoni;1671-06-08
Michele Alboreto;1956-12-23
Aldebert;1973-07-07
Buzz Aldrin;1930-01-20
Jean Alesi;1964-06-11
Christophe Alévêque;1963-10-29
Jason Alexander;1959-09-23
Sasha Alexander;1975-05-17
Jaimie Alexander;1984-03-12
Philippe Alexandre;1932-03-14
Sandrine Alexi;1966-01-04
Alexis;1946-09-18
Albert Algoud;1950-03-23
Mohamed Ali;1942-01-17
Nikos Aliagas;1969-05-13
Louis Aliot;1969-09-04
Alizée;1984-08-21
Alphonse Allais;1854-10-20
Claude Allègre;1937-03-31
Catherine Allégret;1946-04-16
Krista Allen;1971-04-05
Woody Allen;1935-12-01
Lily Allen;1985-05-02
Tim Allen;1953-06-13
Karen Allen;1951-10-05
Salvador Allende;1908-06-26
Kirstie Alley;1951-01-12
Michèle Alliot-Marie;1946-09-10
Gil Alma;1979-09-20
Pedro Almodóvar;1949-09-25
Isabelle Alonso;1953-05-08
Fernando Alonso;1981-07-29
Alicia Alonso;1920-12-21
Luc Alphand;1965-08-06
Armande Altaï;1944-05-20
Robert Altman;1925-02-20
Anne Alvaro;1951-10-29
Alois Alzheimer;1864-06-14
Wolfgang Amadeus Mozart;1756-01-27
Jean Amadou;1929-10-01
Natacha Amal;1968-09-04
Mathieu Amalric;1965-10-25
Paul Amar;1950-01-11
Fadela Amara;1964-04-25
Lauren Ambrose;1978-02-20
Alessandra Ambrosio;1981-04-11
Thierry Amiel;1982-10-18
Santiago Amigorena;1962-02-15
Idi Amin Dada;1924-05-17
Amixem;1991-03-04
Marcel Amont;1929-04-01
Manuel Amoros;1962-02-01
Tori Amos;1963-08-22
John Amos;1939-12-27
André-Marie Ampère;1775-01-20
Anaïs;1976-08-20
Anastacia;1973-09-17
Capucine Anav;1991-04-22
Elena Anaya;1975-07-17
Richard Anconina;1953-01-28
Anthony Anderson;1970-08-15
Gillian Anderson;1968-08-09
Pamela Anderson;1967-07-01
Richard Dean Anderson;1950-01-23
Wes Anderson;1969-05-01
Richard Anderson;1926-08-08
Benny Andersson;1946-12-16
Marc Andréoni;1961-02-08
Ursula Andress;1936-03-19
Naveen Andrews;1969-01-17
Julie Andrews;1935-10-01
Julie Andrieu;1974-02-27
Andy;1986-12-27
Nicolas Anelka;1979-03-14
Anémone;1950-08-09
Eve Angeli;1980-08-25
René Angélil;1942-01-16
Anggun;1974-04-29
Jean-Hugues Anglade;1955-07-29
Christine Angot;1959-02-07
Jennifer Aniston;1969-02-11
Paul Anka;1941-07-30
Kofi Annan;1938-04-08
Jean-Jacques Annaud;1943-10-01
Jean Anouilh;1910-06-23
Jacques Anquetil;1934-01-08
Marc Anthony;1969-09-16
Jérôme Anthony;1968-11-11
Richard Anthony;1938-01-13
Veronica Antico;1978-09-21
Antoine;1944-06-04
Éric Antoine;1976-09-23
Michelangelo Antonioni;1912-09-29
kareen Antonn;1981-05-24
Devon Aoki;1982-08-10
Kader Aoun;1971-07-03
Jean-Michel Aphatie;1958-09-08
Aphex Twin;1971-08-18
Guillaume Apollinaire;1880-08-26
Shiri Appleby;1978-12-07
Christina Applegate;1971-11-25
